id;referencia;producto;max;predet;estado_frio;costo;tara
"19";"11000";"POLLO MARINADO SIN CLASIFICAR";"10";"10";"CONGELADO";"6642.15";"CANASTA"
"24";"11009";"POLLO SIN VISCERA REFRIGERADO";"10";"10";"REFRIGERADO";"8107.41";"CANASTA"
"25";"11003";"POLLO ASADERO 1.4 - 1.6";"15";"12";"CONGELADO";"3977";"CANASTA"
"26";"11018";"POLLO ASADERO 1.8 - 2.0";"10";"10";"CONGELADO";"6626.36";"CANASTA"
"53";"12038";"PERNIL INDIVIDUAL";"30";"30";"CONGELADO";"5679.5";"CANASTA"
"434";"11020";"POLLO ASADERO 2.2 -2.6";"12";"12";"CONGELADO";"3977";"CANASTA"
"492";"11034";"POLLO ASADERO MAYOR A 2.6";"12";"12";"CONGELADO";"3977";"CANASTA"
"560";"14010";"CHORIZO A GRANEL";"100";"50";"REFRIGERADO";"5735.83";"CANASTA"
"561";"14011";"ROLLO POLLO CON VERDURAS X 500 GR UND";"100";"50";"REFRIGERADO";"6332";"CANASTA"
"563";"14013";"CARNE MOLIDA CONDIMENTADA X 500";"100";"50";"CONGELADO";"5841";"CANASTA"
"564";"14014";"SALCHICHON DE POLLO X 500 GR";"100";"50";"REFRIGERADO";"5115";"CANASTA"
"567";"14016";"SALCHICHON CERVECERO DE POLLO OBSEQUIO";"100";"50";"REFRIGERADO";"7826";"CANASTA"
"576";"11019";"POLLO ASADERO 2.0 -2.2";"12";"12";"CONGELADO";"6619.41";"CANASTA"
"642";"11035";"POLLO REFRIGERADO 1 1.6 1.8";"13";"13";"REFRIGERADO";"8136.5";"CANASTA"
"643";"11036";"POLLO REFRIGERADO 2 (1.8-2.0)";"10";"10";"REFRIGERADO";"8131.27";"CANASTA"
"644";"11037";"POLLO REFRIGERADO 3 (2.0-2.2)";"10";"10";"REFRIGERADO";"8127.09";"CANASTA"
"653";"14018";"LOMO NAVIDENO";"100";"50";"REFRIGERADO";"22458";"CANASTA"
"659";"14019";"LOMO CON CHAMPINONES X 850";"100";"50";"REFRIGERADO";"25707";"CANASTA"
"673";"12128";"ANCHETA LOMO CON CHAMPINONES";"100";"50";"SIN ASIGNAR";"13160.16";"CANASTA"
"674";"12129";"ANCHETA NAVIDENA";"100";"50";"SIN ASIGNAR";"11230";"CANASTA"
