id;referencia;descripcion;meses;dias;id_pro
"772";"E11060";"POLLO ENTERO REFRIGERADO SIN MARINAR CV";"0";"12";"10007"
"773";"E13046";"MENUDENCIA FINA GRANEL COMPENSADA";"0";"12";"10012"
"774";"E12745";"MEDIA PECHUGA DE CAMPO P/S X 3";"8";"0";"10081"
"775";"E12746";"MUSLO PRESA SUELTA DE CAMPO X 5";"8";"0";"10084"
"776";"E12747";"CONTRAMUSLO DE CAMPO PRESA SUELTA X 4";"8";"0";"10085"
"777";"E12748";"ALAS S/C X 7 DE CAMPO PRESA SUELTA";"8";"0";"10086"
"779";"E12313";"FILETE DE CONTRAMUSLO MARINADO";"0";"9";"10352"
"780";"E13047";"MENUDENCIA FINA BOLSA OBSEQUIO";"7";"0";"10362"
"781";"E13048";"MENUDENCIA FINA BANDEJA OBSEQUIO";"7";"0";"10363"
"783";"E12749";"CONTRAMUSLO S/R DE CAMPO PS A GRANEL";"8";"0";"10430"
"785";"E12750";"PECHUGA IND TERMOENCOGIDA";"8";"0";"10580"
"107";"11000";"POLLO MARINADO SIN CLASIFICAR";"12";"0";"12"
"111";"11009";"POLLO SIN VISCERA REFRIGERADO";"0";"12";"126"
"112";"11003";"POLLO ASADERO 1.4 - 1.6";"12";"0";"127"
"113";"11018";"POLLO ASADERO 1.8 - 2.0";"12";"0";"128"
"345";"E12160";"ALA C/C REFRIGERADA MARINADA S/I EXITO";"0";"12";"1292"
"347";"E12162";"MUSLO X 2 SIN PIEL REF S/M SINGLE PACK";"0";"12";"1294"
"348";"E12163";"FILETE 1/2 PECHU X 2 REF S/M SINGLE PACK";"0";"12";"1295"
"349";"E12164";"PECHUGA SIN PIEL X 1 REF S/M SINGLE PACK";"0";"12";"1296"
"350";"E12165";"CONTRAMUSLO SIN PIEL X 3 REF S/M SINGLE";"0";"12";"1297"
"351";"E12166";"MUSLO X 2 REF S/M SINGLE PACK";"0";"12";"1298"
"352";"E12167";"PERNIL X 1 REF S/M SINGLE PACK";"0";"12";"1299"
"353";"E12168";"PECHUGA X1 REF S/M SINGLE PACK";"0";"12";"1300"
"354";"E12169";"CONTRAMUSLO X 2 REF S/M SINGLE PACK";"0";"12";"1301"
"355";"E12170";"ALA S/C X 4 REF S/M SINGLE PACK";"0";"12";"1302"
"356";"E12171";"MUSLO X 5 SIN PIEL REF S/M JUMBO";"0";"9";"1303"
"357";"E12172";"FILETE PECHU X 2 REF S/M JUMBO";"0";"9";"1304"
"358";"E12173";"PECHUGA SIN PIEL X 2 REF S/M JUMBO";"0";"9";"1305"
"359";"E12174";"CONTRAMUSLO SIN PIEL X 6 REF S/M JUMBO";"0";"9";"1306"
"360";"E12175";"COLOMBINA DE POLLO X 14 REF S/M JUMBO";"0";"12";"1307"
"361";"E12176";"MUSLO X 5 REF S/M JUMBO";"0";"12";"1308"
"362";"E12177";"PERNIL X 2 REF S/M JUMBO";"0";"12";"1309"
"363";"E12178";"PECHUGA X 2 REF S/M JUMBO";"0";"12";"1310"
"364";"E12179";"CONTRAMUSLO X 6 REF S/M JUMBO";"0";"12";"1311"
"365";"E12180";"ALA S/C X 8 REF S/M JUMBO";"0";"12";"1312"
"366";"E12181";"POLLO ENTERO S/V REF S/M JUMBO";"0";"12";"1313"
"367";"E12182";"MUSLO X 12 SIN PIEL REF S/M FAMILY";"0";"12";"1314"
"368";"E12183";"FILETE 1/2 PECHU REF S/M FAMILY";"0";"12";"1315"
"369";"E12184";"PECHUGA SIN PIEL X 4 REF S/M FAMILY";"0";"12";"1316"
"370";"E12185";"CONTRAMUSLO SIN PIEL X 12 REF S/M FAMILY";"0";"12";"1317"
"371";"E12186";"MUSLO X12 REF S/M FAMILY";"0";"12";"1318"
"372";"E12187";"ALA S/C X 20 REF S/M FAMILY";"0";"12";"1319"
"373";"E12188";"PECHUGA X 4 REF S/M FAMILY";"0";"12";"1320"
"374";"E12189";"COLOMBINA DE POLLO X 30 REF S/M FAMILY";"0";"12";"1321"
"375";"E12190";"CONTRAMUSLO X 12 REF S/M FAMILY";"0";"12";"1322"
"376";"E12191";"CONTRAMUSLO PRESA SUELTA X 10 MAKRO";"8";"0";"1323"
"377";"E12192";"CONTRAMUSLO PRESA SUELTA X 15 MAKRO";"8";"0";"1324"
"378";"E12193";"COLOMBINA DE ALA  PRESA SULTA X 30 MAKRO";"8";"0";"1325"
"379";"E12194";"MUSLO PRESA SUELTA X 15 MAKRO";"8";"0";"1326"
"380";"E12195";"MUSLO PRESA SUELTA X 10 MAKRO";"8";"0";"1327"
"381";"E12196";"LOMITOS DE PECHUGA PRESA SUELTA MAKRO";"7";"0";"1328"
"382";"E12197";"TROZOS DE PECHUGA BOLSA MAKRO";"8";"0";"1329"
"383";"E12198";"FILETE DE PECHUGA X 15 MAKRO";"7";"0";"1330"
"384";"E12199";"FILETE DE PECHUGA X 10 MAKRO";"7";"0";"1331"
"385";"E12200";"ALAS S/C X 20 PRESA SUELTA MAKRO";"8";"0";"1332"
"386";"E12201";"PECHUGA REF MAR COMPENSADA JUMBO";"0";"12";"1333"
"387";"E12202";"PERNIL REF MAR COMPENSADA JUMBO";"0";"12";"1334"
"388";"E12203";"ALA C/C REF MAR COMPENSADA JUMBO";"0";"12";"1335"
"389";"E12204";"TROZOS CONGELADOS CF";"7";"0";"1336"
"390";"E12205";"PIEL CONGELADA CF";"7";"0";"1337"
"391";"E12206";"PUNTA DE ALA";"8";"0";"1338"
"392";"E12207";"FILETE DE PECHUGA S/M 200-220 GR";"8";"0";"1339"
"393";"E12208";"FILETE DE PECHUGA S/M 290-320 GR";"7";"0";"1340"
"394";"E12209";"FILETE DE PECHUGA X 10 UND";"7";"0";"1341"
"395";"E12210";"FILETE 1/2 PECHU X 10 REF S/M W";"0";"12";"1342"
"396";"E12211";"FILETE DE CONTRAMUSLO X 15 REF S/M W";"0";"12";"1343"
"397";"E12212";"PECHUGA SIN PIEL X 4 REF S/M W";"0";"12";"1344"
"398";"E12213";"MUSLO X 12 SIN PIEL REF S/M W";"0";"12";"1345"
"399";"E12214";"LOMITOS TROZOS DE POLLO REFRIGERADOS M W";"0";"12";"1346"
"400";"E12215";"FILETE PECHUGA REF 330-360 X 5 UND W";"0";"12";"1347"
"401";"E12216";"FILETE PECHUGA REF 90-100 X 5 UND W";"0";"12";"1348"
"402";"E12217";"1/2 POLLO S/ALA,S/MOÑON, REF ADO VACIO W";"0";"15";"1349"
"403";"E12219";"FILETE 1/2 PECHU X 2 REF S/M VACIO W";"0";"12";"1350"
"404";"E12220";"MINICHUZOS CONTRAMUSLO X 6 REF  VACIO W";"0";"15";"1351"
"405";"E12223";"CONTRAMUSLO X 6 REF M W";"0";"12";"1352"
"406";"E12224";"FILETE PECHU X 2 REF M W";"0";"12";"1353"
"407";"E12225";"MUSLO X 6 REF MAR W";"0";"12";"1354"
"408";"E12226";"PECHUGA X 2 REF MAR W";"0";"12";"1355"
"409";"E12230";"HUESO ESPECIAL DE POLLO (PESCUEZO) REF W";"0";"9";"1356"
"415";"E11000";"POLLO MARINADO SIN CLASIFICAR";"12";"0";"1365"
"416";"E11001";"POLLO ASADERO 1.0-1.4";"12";"0";"1366"
"417";"E11002";"POLLO ASADERO 1.6 - 1.8";"12";"0";"1367"
"418";"E11003";"POLLO ASADERO 1.4 - 1.6";"12";"0";"1368"
"421";"E11007";"COMBO POLLO X 2";"8";"0";"1372"
"422";"E11008";"POLLO SIN VISCERA SIN MARINAR";"0";"12";"1373"
"423";"E11009";"POLLO SIN VISCERA REFRIGERADO";"0";"12";"1374"
"424";"E11010";"POLLO CV POLLOCOA";"12";"0";"1375"
"425";"E11011";"POLLO CON VISCERA (1.7 - 2.0)";"12";"0";"1376"
"426";"E11014";"POLLO S/V POLLOCOA REFRIGERADO I";"0";"12";"1379"
"427";"E11017";"POLLO REFRIGERADO 5 - 6 BROSTY";"0";"12";"1381"
