id;eanprod;cliente;localizacion;referencia;descripcion
"1423";"2925720000001";"todos";"1";"E11024";"POLLO REFRIGERADO EX SIN MARINAR"
"1774";"7700257039770";"todos";"1";"14039";"CHORIZO DE POLLO X 10 UND"
"1383";"2497936000002";"todos";"1";"E12168";"PECHUGA X1 REF S/M SINGLE PACK"
"1272";"2925703000004";"todos";"1";"E12001";"PECHUGA X 2"
"1077";"2472350000005";"todos";"1";"E12181";"POLLO ENTERO S/V REF S/M JUMBO"
"1258";"2925705000002";"todos";"1";"E12006";"MUSLO X 6"
"1260";"2925706000001";"todos";"1";"E12007";"SUPERMUSLOS"
"1269";"2925707000000";"todos";"1";"E12010";"CONTRAMUSLOS MARINADOS BANDEJA"
"1307";"7700257000022";"todos";"1";"E12015";"PERNIL CAJA X 5 LB"
"1306";"2925710000004";"todos";"1";"E12017";"ALAS X 3"
"1336";"7700257000183";"todos";"1";"E14001";"CHUZO X 10 POLLOCOA UND"
"1363";"7700257000190";"todos";"1";"E11007";"COMBO POLLO X 2"
"1380";"2925713000001";"todos";"1";"E12022";"RABADILLA BANDEJA X 3"
"1379";"2925748000007";"todos";"1";"E12037";"RECORTE BOLSA"
"1761";"7700257000114";"todos";"1";"E12103";"RABADILLA BOLSA EXITO UND"
"1760";"2925712000002";"todos";"1";"E12025";"AJIACO ESPECIAL"
"1014";"2925718000006";"todos";"1";"E12026";"FILETE DE PECHUGA BLOQUE"
"1755";"7700257000169";"todos";"1";"E13001";"MENUDENCIA FINA BANDEJA"
"1209";"7700257000220";"todos";"1";"E12209";"FILETE DE PECHUGA X 10 UND"
"1267";"2925724000007";"todos";"1";"E12031";"FILETE PECHUGA BANDEJA"
"1213";"2925719000005";"todos";"1";"E12032";"PECHUGA PRESA SUELTA"
"1042";"2925727000004";"todos";"1";"E12034";"MUSLO REFRIGERADO"
"1001";"2972030000009";"todos";"1";"e12035";"CONTRAMUSLO REFRIGERADO"
"1405";"7700257000299";"todos";"1";"E14002";"ALITAS DE POLLO ADOBADAS PICANTES"
"1358";"7700257000305";"todos";"1";"E14003";"ALITAS DE POLLO ADOBADAS BBQ UND"
