codigoDep,gln,dependencia,cadena,zona
28,7701001002804,EXITO DEL ESTE,ALMACENES EXITO,Zona 0
30,7701001003009,EXITO BELLO,ALMACENES EXITO,Zona 0
31,7701001003108,EXITO COLOMBIA,ALMACENES EXITO,Zona 0
33,7701001003306,EXITO POBLADO,ALMACENES EXITO,Zona 0
35,7701001003504,EXITO ENVIGADO,ALMACENES EXITO,Zona 0
37,7701001003702,EXITO LAURELES,ALMACENES EXITO,Zona 0
39,7701001003900,EXITO SAN ANTONIO,ALMACENES EXITO,Zona 0
40,7701001004006,EXITO ITAGUI,ALMACENES EXITO,Zona 0
41,7701001004105,EXITO BARRANQUILLA,ALMACENES EXITO,Zona 0
42,7701001004204,EXITO RIONEGRO,ALMACENES EXITO,Zona 0
43,7701001004303,EXITO SINCELEJO,ALMACENES EXITO,Zona 0
44,7701001004402,EXITO CARTAGENA,ALMACENES EXITO,Zona 0
45,7701001004501,EXITO APARTADO,ALMACENES EXITO,Zona 0
46,7701001004600,EXITO OCANA,ALMACENES EXITO,Zona E
47,7701001004709,EXITO BARRANQUI.METROPOLITANO,ALMACENES EXITO,Zona 0
51,7701001005119,EXITO SAN FERNANDO,ALMACENES EXITO,Zona 0
53,7701001005300,EXITO SIMON BOLIVAR,ALMACENES EXITO,Zona 0
54,7701001005409,EXITO LA FLORA,ALMACENES EXITO,Zona 0
56,7701001005607,EXITO UNICALI,ALMACENES EXITO,Zona 0
58,7701001005805,EXITO PASTO,ALMACENES EXITO,Zona 0
62,7701001006208,EXITO PARQUE ARBOLEDA,ALMACENES EXITO,Zona 0
63,7701001006307,EXITO PEREIRA,ALMACENES EXITO,Zona 0
64,7701001006406,EXITO TULUA,ALMACENES EXITO,Zona 0
65,7701001006505,EXITO UNICENTRO ARMENIA,ALMACENES EXITO,Zona 0
67,7701001006703,EXITO BUENAVENTURA,ALMACENES EXITO,Zona 0
68,7701001006802,EXITO TOLU,ALMACENES EXITO,Zona 0
71,7701001007106,EXITO BUCARAMANGA,ALMACENES EXITO,Zona E
73,7701001007304,EXITO ARANJUEZ,ALMACENES EXITO,Zona 0
74,7701001007403,EXITO SAN JERONIMO,ALMACENES EXITO,Zona 0
75,7701001007502,EXITO MAYORCA,ALMACENES EXITO,Zona 0
79,7701001007908,EXITO VIVA TUNJA,ALMACENES EXITO,Zona E
81,7701001008103,EXITO COUNTRY,ALMACENES EXITO,Zona E
82,7701001008202,EXITO SAN MARTIN,ALMACENES EXITO,Zona E
83,7701001008301,EXITO VILLA MAYOR,ALMACENES EXITO,Zona E
84,7701001008417,EXITO AMERICAS,ALMACENES EXITO,Zona E
86,7701001008615,EXITO CALLE 80,ALMACENES EXITO,Zona E
87,7701001008707,EXITO EXPRESS HORIZONTES,EXITO EXPRESS,Zona EE
88,7701001008806,EXITO LA COLINA,ALMACENES EXITO,Zona E
89,7701001008905,EXITO FONTIBON,ALMACENES EXITO,Zona E
90,7701001009001,EXITO FACATATIVA,ALMACENES EXITO,Zona E
91,7701001009100,EXITO OCCIDENTE,ALMACENES EXITO,Zona E
